address,constant_name,value,comment
0x1C5B6,VP44_FUEL_TEMP_OFFSET,112,VP44 fuel temperature sensor offset (movew #112)
0x1C860,CAN_MSG_ALT_HANDLER,17,CAN message type for alternative handler (moveq #17)
0x1C866,CAN_MSG_VP44_FUEL,16,CAN message type for VP44 fuel (moveq #16) - CORRECTED from original
0x1C872,CAN_MSG_ERROR_DEFAULT,255,CAN message error/default case (cmpib #-1 = 0xFF)
0x2A3CE,VP44_FUEL_OFFSET,125,VP44 fuel amount offset (param_table + 125)
0x2A41E,VP44_MSG_HEADER,0xF00400,VP44 message format identifier for 0x100 commands
0x00020980,VP44_CMD_BUILDER_CALL,0x2A418,JSR call to VP44 command message builder
0x0100003A,DATA_PLT_MODULE_ID_ADDR,0x0100003A,Address of Cummins module identifier field
0x3662E,MODULE_ID_LOOKUP_TABLE,0x454E,Module ID lookup table entry for EN family
0x0000A53E,DMA_CONTROLLER_SETUP,0x80000000,DMA enable flag value (high bit set)
0x0000A548,DMA_DESC_ADDR_1,0x8062F4,DMA descriptor 1 address pointer
0x0000A55C,DMA_DESC_ADDR_2,0x8062F6,DMA descriptor 2 address pointer
0x0000A57C,DMA_SOURCE_ADDR_1,0x806304,DMA transfer source address 1  
0x0000A584,DMA_DEST_ADDR_1,0x806318,DMA transfer destination address 1
0x0000A5A6,DMA_SOURCE_ADDR_2,0x80632C,DMA transfer source address 2
0x0000A5AE,DMA_DEST_ADDR_2,0x806340,DMA transfer destination address 2
0x0000804A,RESET_VECTOR,0x00025596,System reset vector pointing to systemResetHandler
0x00037EAE,FIRMWARE_DATA_START,0x37EAE,Start address of firmware data copied to working memory
0x008062D2,WORKING_MEM_START,0x8062D2,Start of working memory for firmware data (10KB)
0x00808AB2,WORKING_MEM_END,0x808AB2,End of working memory for firmware data
