enum_name,value,member_name,comment,size
CAN_BUFFER_OFFSETS,0x36,STATUS_BYTE,CAN message status byte offset
CAN_BUFFER_OFFSETS,0x37,PARAM_BYTE_1,First parameter byte offset
CAN_BUFFER_OFFSETS,0x38,PARAM_BYTE_2,Second parameter byte offset
CAN_BUFFER_OFFSETS,0x39,PARAM_BYTE_3,Third parameter byte offset
CAN_MSG_TYPE,16,VP44_FUEL_TEMP,VP44 fuel temperature message
CAN_MSG_TYPE,17,ALTERNATIVE_MSG,Alternative message handler
CAN_MSG_TYPE,19,THIRD_MSG,Third message handler
CAN_MSG_TYPE,255,ERROR_DEFAULT,Error/default case message
CAN_PARAM_BUILDERS,1,VP44_CMD_BUILDER,vp44Command0x100Builder function (0x2a418)
VP44_STATUS_BITS,0x01,FSO_CIRCUIT_STATUS_BIT0,VP44 FSO circuit status bit 0 - when set indicates normal operation
VP44_STATUS_BITS,0x02,FSO_CIRCUIT_STATUS_BIT1,VP44 FSO circuit status bit 1 - redundant FSO monitoring
VP44_STATUS_BITS,0x04,STATUS_BIT2,VP44 status bit 2
VP44_STATUS_BITS,0x08,STATUS_BIT3,VP44 status bit 3
VP44_STATUS_BITS,0x10,STATUS_BIT4,VP44 status bit 4 - affects fuel timing control
VP44_STATUS_BITS,0x20,STATUS_BIT5,VP44 status bit 5
VP44_STATUS_BITS,0x40,STATUS_BIT6,VP44 status bit 6
VP44_STATUS_BITS,0x80,STATUS_BIT7,VP44 status bit 7
ENGINE_OPERATING_MODE,1,IDLE,Engine idle/startup mode,2
ENGINE_OPERATING_MODE,2,LOW_RPM_RUNNING,Low RPM running mode,2
ENGINE_OPERATING_MODE,3,HIGH_RPM_RUNNING,High RPM running mode,2
ENGINE_OPERATING_MODE,4,VP44_INJECTION_ACTIVE,VP44 injection system active mode,2
ENGINE_OPERATING_MODE,5,HIGH_PERFORMANCE,High performance/load mode,2
ENGINE_OPERATING_MODE,6,TRANSITIONAL_MODE_6,Transitional operating mode 6,2
ENGINE_OPERATING_MODE,7,TRANSITIONAL_MODE_7,Transitional operating mode 7,2
ENGINE_OPERATING_MODE,8,FAULT_EMERGENCY,Fault/emergency mode,2
CAN_PARAM_BUILDERS,2,CONFIG_BUILDER,configParamCanBuilder function (0x2a57e)
DIAGNOSTIC_MESSAGE_TYPES,16,VP44Handler,VP44 pump communication handler
DIAGNOSTIC_MESSAGE_TYPES,17,ParameterRequestHandler,Alternative handler for parameter requests
DIAGNOSTIC_MESSAGE_TYPES,19,StatusRequestHandler,Third handler for status/diagnostic requests
DIAGNOSTIC_MESSAGE_TYPES,255,ErrorDefaultHandler,Error/default case handler
VP44_DATA_FIELDS,1,FUEL_HIGH_BYTE,Fuel amount high byte (param_table_aux>>8 + 125)
VP44_DATA_FIELDS,2,FUEL_LOW_BYTE,Fuel amount low byte (param_table_main>>8 + 125)  
VP44_DATA_FIELDS,3,RESERVED_ZERO_1,Reserved/zero byte 3
VP44_DATA_FIELDS,4,RESERVED_ZERO_2,Reserved/zero byte 4
VP44_DATA_FIELDS,5,TIMING_BYTE1,Injection timing advance (byte 5)
VP44_DATA_FIELDS,6,TIMING_BYTE2,Injection timing advance (byte 6)
VP44_DATA_FIELDS,7,RPM_LOW_BYTE,Engine RPM×4 low byte (current_engine_rpm & 0xFF)
VP44_DATA_FIELDS,8,RPM_HIGH_BYTE,Engine RPM×4 high byte (current_engine_rpm >> 8)
DUAL_CAN_CONTROLLERS,0,CAN_CONTROLLER_MAIN,Primary CAN controller (SSCNLTOB)
DUAL_CAN_CONTROLLERS,1,CAN_CONTROLLER_1,Secondary CAN controller 1 (SSC1LTOB)
DUAL_CAN_J1939_SOURCE_ADDR,1,J1939_SOURCE_ADDR_1,J1939 source address 1 (JCSA1)
DUAL_CAN_J1939_SOURCE_ADDR,2,J1939_SOURCE_ADDR_2,J1939 source address 2 (JCSA2)
DUAL_CAN_J1939_SOURCE_ADDR,3,J1939_SOURCE_ADDR_3,J1939 source address 3 (JCSA3)
